id,type,level,keyword,meaning,example_1,translation_1,example_2,translation_2,
1152,vocabulary,TOPIK II,건조하다,to dry,빨래가 아직 안 건조했어요,The laundry has not dried yet,겨울에는 피부가 쉽게 건조해집니다,"In winter, skin dries easily",
1153,vocabulary,TOPIK II,고장나다,to break down,컴퓨터가 고장났어요,My computer broke down,엘리베이터가 고장났습니다,The elevator broke down,
1154,vocabulary,TOPIK II,공휴일,public holiday,내일은 공휴일입니다,Tomorrow is a public holiday,공휴일에는 사람이 많아요,There are many people on public holidays,
1155,vocabulary,TOPIK II,구경하다,to look around,시장을 구경했어요,I looked around the market,친구와 백화점을 구경했습니다,I looked around the department store with my friend,
1156,vocabulary,TOPIK II,귀국하다,to return to one’s country,다음 달에 귀국할 예정입니다,I plan to return to my country next month,방학 때 귀국했어요,I returned home during vacation,
1157,vocabulary,TOPIK II,냉동식품,frozen food,냉동식품을 자주 먹어요,I often eat frozen food,냉동식품을 냉장고에 넣었어요,I put frozen food in the refrigerator,
1158,vocabulary,TOPIK II,대기하다,to wait,밖에서 잠시 대기해 주세요,Please wait outside for a moment,승객들이 공항에서 대기하고 있습니다,Passengers are waiting at the airport,
1159,vocabulary,TOPIK II,도전하다,to challenge,새로운 일에 도전하고 싶어요,I want to challenge myself with something new,대회에 도전했습니다,I challenged myself in the competition,
1160,vocabulary,TOPIK II,마감되다,to be closed/finished,접수가 마감되었습니다,The registration has closed,오늘 행사 신청이 마감됐어요,Today's event registration closed,
1161,vocabulary,TOPIK II,무선인터넷,wireless internet,무선인터넷이 잘 안 됩니다,The wireless internet is not working well,카페에서 무선인터넷을 사용했어요,I used Wi-Fi at the cafe,
1162,vocabulary,TOPIK II,반대하다,to oppose,부모님이 제 의견에 반대하셨어요,My parents opposed my opinion,많은 사람들이 그 계획에 반대했습니다,Many people opposed the plan,
1163,vocabulary,TOPIK II,방문객,visitor,방문객이 정말 많았습니다,There were many visitors,박물관 방문객이 늘었어요,The number of museum visitors increased,
1164,vocabulary,TOPIK II,배달되다,to be delivered,택배가 오늘 배달됐어요,The package was delivered today,음식이 빨리 배달됐습니다,The food was delivered quickly,
1165,vocabulary,TOPIK II,분실하다,to lose,지갑을 분실했어요,I lost my wallet,핸드폰을 분실하지 않게 조심하세요,Be careful not to lose your phone,
1166,vocabulary,TOPIK II,상담하다,to consult,선생님과 상담했습니다,I consulted with the teacher,진로 문제를 상담하고 싶어요,I want to discuss career problems,
1167,vocabulary,TOPIK II,신청서,application form,신청서를 작성했어요,I filled out the application form,신청서를 제출하세요,Please submit the application form,
1168,vocabulary,TOPIK II,안내문,notice,안내문을 읽어 보세요,Please read the notice,학교에서 안내문을 받았습니다,I received a notice from school,
1169,vocabulary,TOPIK II,업로드하다,to upload,사진을 업로드했어요,I uploaded the photos,파일을 업로드해 주세요,Please upload the file,
1170,vocabulary,TOPIK II,연결되다,to be connected,인터넷이 연결되지 않았어요,The internet is not connected,두 도시가 지하철로 연결됩니다,The two cities are connected by subway,
1171,vocabulary,TOPIK II,연장되다,to be extended,행사 기간이 연장됐어요,The event period was extended,마감 시간이 연장되었습니다,The deadline was extended,
1172,vocabulary,TOPIK II,유효하다,to be valid,이 표는 오늘까지 유효합니다,This ticket is valid until today,여권이 아직 유효합니다,My passport is still valid,
1173,vocabulary,TOPIK II,이용객,user/customer,이용객이 많이 늘었습니다,The number of users increased,지하철 이용객이 많아요,There are many subway users,
1174,vocabulary,TOPIK II,입장료,admission fee,입장료가 비쌉니다,The admission fee is expensive,학생은 입장료가 무료입니다,Students get free admission,
1175,vocabulary,TOPIK II,작성하다,to write/create,보고서를 작성했어요,I wrote a report,계획서를 작성 중입니다,I am writing a proposal,
1176,vocabulary,TOPIK II,재활용,recycling,재활용이 중요합니다,Recycling is important,재활용 쓰레기를 버렸어요,I threw away recyclables,
1177,vocabulary,TOPIK II,정리되다,to be organized,방이 깨끗하게 정리됐어요,The room was neatly organized,자료가 잘 정리되어 있습니다,The materials are well organized,
1178,vocabulary,TOPIK II,조절하다,to control/adjust,온도를 조절하세요,Please adjust the temperature,감정을 조절하기 어려웠어요,It was hard to control my emotions,
1179,vocabulary,TOPIK II,출발하다,to depart,기차가 곧 출발합니다,The train will depart soon,아침 일찍 출발했어요,I left early in the morning,
1180,vocabulary,TOPIK II,환불하다,to refund,표를 환불했어요,I refunded the ticket,환불이 가능한가요?,Is a refund possible?,
1181,vocabulary,TOPIK II,체력,physical strength,체력이 많이 좋아졌어요,My stamina improved a lot,체력이 부족해서 피곤합니다,I am tired because I lack stamina,
1182,vocabulary,TOPIK II,체험하다,to experience,한국 문화를 직접 체험했어요,I experienced Korean culture directly,새로운 활동을 체험해 보고 싶어요,I want to try a new activity,
1183,vocabulary,TOPIK II,초대장,invitation card,초대장을 받았어요,I received an invitation card,결혼식 초대장을 보냈습니다,I sent wedding invitations,
1184,vocabulary,TOPIK II,최소한,at least,최소한의 준비는 해야 합니다,You should prepare at least a little,하루에 최소한 두 시간 공부해요,I study at least two hours a day,
1185,vocabulary,TOPIK II,출근하다,to go to work,아침 일찍 출근합니다,I go to work early in the morning,비가 와도 출근해야 합니다,I still have to go to work even if it rains,
1186,vocabulary,TOPIK II,출석률,attendance rate,출석률이 중요합니다,Attendance rate is important,출석률이 많이 낮아졌어요,The attendance rate dropped a lot,
1187,vocabulary,TOPIK II,충고하다,to advise,친구에게 충고해 주었어요,I gave advice to my friend,부모님의 충고를 들었습니다,I listened to my parents' advice,
1188,vocabulary,TOPIK II,취소되다,to be canceled,행사가 취소됐어요,The event was canceled,비 때문에 경기가 취소됐습니다,The game was canceled because of rain,
1189,vocabulary,TOPIK II,친절하다,to be kind,직원들이 친절했어요,The staff were kind,친절하게 설명해 주셨어요,They explained kindly,
1190,vocabulary,TOPIK II,참석하다,to attend,회의에 참석했습니다,I attended the meeting,친구 결혼식에 참석할 거예요,I will attend my friend's wedding,
1191,vocabulary,TOPIK II,노선도,route map,노선도를 확인하세요,Check the route map,지하철 노선도를 봤어요,I looked at the subway map,
1192,vocabulary,TOPIK II,노인분,elderly person,노인분께 자리를 양보했어요,I gave my seat to an elderly person,노인분들이 많이 이용합니다,Many elderly people use it,
1193,vocabulary,TOPIK II,노출되다,to be exposed,개인 정보가 노출됐어요,Personal information was exposed,햇빛에 오래 노출되면 안 됩니다,You should not be exposed to sunlight too long,
1194,vocabulary,TOPIK II,눈치보다,to be conscious of others,눈치보지 말고 이야기하세요,Don't worry about others and speak,저는 항상 눈치를 봅니다,I am always conscious of others,
1195,vocabulary,TOPIK II,낭비하다,to waste,시간을 낭비하지 마세요,Don't waste time,물을 너무 많이 낭비했어요,I wasted too much water,
1196,vocabulary,TOPIK II,단골,customer who visits often,저는 그 식당 단골입니다,I am a regular customer at that restaurant,단골 손님이 많습니다,There are many regular customers,
1197,vocabulary,TOPIK II,담당자,person in charge,담당자와 이야기했어요,I talked with the person in charge,담당자에게 문의하세요,Please ask the person in charge,
1198,vocabulary,TOPIK II,대체하다,to replace,컴퓨터를 새것으로 대체했어요,I replaced the computer with a new one,설탕 대신 꿀로 대체했습니다,I replaced sugar with honey,
1199,vocabulary,TOPIK II,도착지,destination,도착지에 거의 다 왔어요,We almost arrived at the destination,도착지를 다시 확인했습니다,I checked the destination again,
1200,vocabulary,TOPIK II,독립하다,to become independent,경제적으로 독립하고 싶어요,I want to become financially independent,대학생이 되면서 독립했어요,I became independent after entering university,
1201,vocabulary,TOPIK II,반복되다,to be repeated,같은 실수가 반복됐어요,The same mistake was repeated,이 장면이 계속 반복됩니다,This scene keeps repeating,
1202,vocabulary,TOPIK II,발생하다,to occur,문제가 발생했습니다,A problem occurred,사고가 갑자기 발생했어요,An accident suddenly occurred,
1203,vocabulary,TOPIK II,보관함,locker,짐을 보관함에 넣었어요,I put my luggage in the locker,보관함 열쇠를 잃어버렸어요,I lost the locker key,
1204,vocabulary,TOPIK II,부족하다,to lack,시간이 부족합니다,I don't have enough time,경험이 아직 부족해요,I still lack experience,
1205,vocabulary,TOPIK II,불편하다,to be uncomfortable,의자가 조금 불편해요,The chair is a little uncomfortable,교통이 불편합니다,Transportation is inconvenient,
1206,vocabulary,TOPIK II,분위기,atmosphere,분위기가 정말 좋았어요,The atmosphere was really nice,조용한 분위기를 좋아합니다,I like quiet atmospheres,
1207,vocabulary,TOPIK II,배려하다,to consider/care for,다른 사람을 배려해야 합니다,We should care for others,친구가 저를 많이 배려해 줬어요,My friend was very considerate of me,
1208,vocabulary,TOPIK II,보호되다,to be protected,개인 정보가 보호됩니다,Personal information is protected,환경이 잘 보호되어야 합니다,The environment should be well protected,
1209,vocabulary,TOPIK II,비상구,emergency exit,비상구 위치를 확인하세요,Check the emergency exit location,비상구로 빨리 나갔어요,I quickly exited through the emergency exit,
1210,vocabulary,TOPIK II,발전되다,to be developed,도시가 많이 발전됐어요,The city developed a lot,기술이 빠르게 발전되고 있습니다,Technology is developing rapidly,
1211,vocabulary,TOPIK II,안내하다,to guide,직원이 길을 안내해 주었어요,The staff guided me,행사장을 안내하겠습니다,I will guide you to the event hall,
1212,vocabulary,TOPIK II,안정적,stable,안정적인 직업을 원해요,I want a stable job,생활이 안정적으로 변했습니다,My life became stable,
1213,vocabulary,TOPIK II,예방하다,to prevent,감기를 예방하려면 손을 씻어야 합니다,"To prevent a cold, you should wash your hands",사고를 예방하는 것이 중요합니다,It is important to prevent accidents,
1214,vocabulary,TOPIK II,오해하다,to misunderstand,친구를 오해했어요,I misunderstood my friend,제 말을 오해하지 마세요,Please don't misunderstand my words,
1215,vocabulary,TOPIK II,운영하다,to operate,부모님이 작은 식당을 운영하세요,My parents run a small restaurant,동아리를 운영하고 있습니다,I am managing a club,
1216,vocabulary,TOPIK II,응원하다,to support/cheer,친구를 응원하러 갔어요,I went to cheer for my friend,가족들이 항상 응원해 줍니다,My family always supports me,
1217,vocabulary,TOPIK II,의심하다,to doubt,그 말을 의심했어요,I doubted those words,아무도 그를 의심하지 않았습니다,No one doubted him,
1218,vocabulary,TOPIK II,이동하다,to move,다른 자리로 이동해 주세요,Please move to another seat,짐을 옮기려고 이동했습니다,I moved to carry the luggage,
1219,vocabulary,TOPIK II,인정하다,to admit/recognize,실수를 인정했습니다,I admitted my mistake,그의 실력을 인정합니다,I recognize his skills,
1220,vocabulary,TOPIK II,입력하다,to enter/input,비밀번호를 입력하세요,Please enter the password,정보를 정확하게 입력했습니다,I entered the information correctly,
1221,vocabulary,TOPIK II,자동차,car,자동차를 새로 샀어요,I bought a new car,자동차가 정말 많습니다,There are so many cars,
1222,vocabulary,TOPIK II,자연스럽다,natural,표정이 아주 자연스러웠어요,The facial expression looked very natural,자연스럽게 이야기해 보세요,Try speaking naturally,
1223,vocabulary,TOPIK II,장기간,long term,장기간 사용이 가능합니다,It can be used long term,장기간 여행을 계획 중입니다,I am planning a long-term trip,
1224,vocabulary,TOPIK II,적극적,active/positive,적극적인 태도가 중요합니다,An active attitude is important,그 학생은 수업에 적극적으로 참여합니다,That student actively participates in class,
1225,vocabulary,TOPIK II,절약하다,to save,전기를 절약해야 합니다,We should save electricity,돈을 절약하려고 도시락을 싸요,I pack lunch to save money,
1226,vocabulary,TOPIK II,조심하다,to be careful,길이 미끄러우니까 조심하세요,"The road is slippery, so be careful",건강을 조심해야 합니다,You should take care of your health,
1227,vocabulary,TOPIK II,존중하다,to respect,다른 문화를 존중해야 합니다,We should respect other cultures,친구의 의견을 존중합니다,I respect my friend's opinion,
1228,vocabulary,TOPIK II,지속되다,to continue,비가 하루 종일 지속됐어요,The rain continued all day,인기가 계속 지속되고 있습니다,The popularity continues,
1229,vocabulary,TOPIK II,직접적,direct,직접적인 표현은 어려워요,Direct expressions are difficult,그는 직접적으로 말했습니다,He spoke directly,
1230,vocabulary,TOPIK II,집중하다,to concentrate,공부에 집중하고 있어요,I am concentrating on studying,한 가지 일에 집중하세요,Focus on one thing,
1231,vocabulary,TOPIK II,사용되다,to be used,이 단어는 자주 사용됩니다,This word is used often,플라스틱이 많이 사용되고 있습니다,Plastic is widely used,
1232,vocabulary,TOPIK II,상상하다,to imagine,미래를 상상해 봤어요,I imagined the future,상상보다 더 재미있었어요,It was more fun than I imagined,
1233,vocabulary,TOPIK II,성장하다,to grow,아이들이 빨리 성장합니다,Children grow quickly,회사가 크게 성장했어요,The company grew a lot,
1234,vocabulary,TOPIK II,실현되다,to be realized,꿈이 실현됐어요,My dream came true,계획이 실현되기 어렵습니다,It is difficult for the plan to be realized,
1235,vocabulary,TOPIK II,신뢰하다,to trust,친구를 신뢰합니다,I trust my friend,서로 신뢰하는 관계입니다,We have a trusting relationship,
1236,vocabulary,TOPIK II,실천하다,to practice/carry out,계획을 실천하는 것이 중요합니다,It is important to carry out plans,배운 내용을 실천해 보세요,Try practicing what you learned,
1237,vocabulary,TOPIK II,실망하다,to be disappointed,결과에 실망했어요,I was disappointed with the result,친구에게 실망했습니다,I was disappointed in my friend,
1238,vocabulary,TOPIK II,포기하다,to give up,끝까지 포기하지 않았어요,I did not give up until the end,꿈을 포기하고 싶지 않아요,I don't want to give up my dream,
1239,vocabulary,TOPIK II,표현되다,to be expressed,감정이 잘 표현됐어요,The emotions were expressed well,그림으로 표현되었습니다,It was expressed through a drawing,
1240,vocabulary,TOPIK II,평가하다,to evaluate,결과를 평가했습니다,We evaluated the result,학생들의 실력을 평가합니다,We evaluate students' skills,
1241,vocabulary,TOPIK II,가능하다,to be possible,내일까지 끝내는 것이 가능합니다,It is possible to finish by tomorrow,여기에서 충전이 가능합니다,Charging is possible here,
1242,vocabulary,TOPIK II,가득하다,to be full,교실에 학생들이 가득합니다,The classroom is full of students,냉장고가 음식으로 가득해요,The refrigerator is full of food,
1243,vocabulary,TOPIK II,감동적,moving/touching,정말 감동적인 영화였어요,It was a very touching movie,그 이야기가 감동적이었습니다,That story was moving,
1244,vocabulary,TOPIK II,강조하다,to emphasize,선생님이 발음을 강조하셨어요,The teacher emphasized pronunciation,중요성을 강조했습니다,They emphasized the importance,
1245,vocabulary,TOPIK II,개선되다,to improve,생활 환경이 개선됐어요,The living environment improved,문제가 많이 개선되었습니다,The problem improved a lot,
1246,vocabulary,TOPIK II,거리감,feeling of distance,처음에는 거리감이 느껴졌어요,At first I felt distant,사람들과 거리감이 없어졌어요,I no longer feel distant from people,
1247,vocabulary,TOPIK II,건강하다,to be healthy,건강하게 살고 싶어요,I want to live healthily,채소를 먹으면 건강해집니다,Eating vegetables makes you healthy,
1248,vocabulary,TOPIK II,결심하다,to decide firmly,운동하기로 결심했어요,I decided to exercise,금연을 결심했습니다,I decided to quit smoking,
1249,vocabulary,TOPIK II,공감하다,to sympathize,친구의 고민에 공감했어요,I sympathized with my friend's worries,많은 사람들이 그 의견에 공감합니다,Many people relate to that opinion,
1250,vocabulary,TOPIK II,관찰하다,to observe,동물의 행동을 관찰했어요,I observed the animals' behavior,아이들을 자세히 관찰했습니다,I observed the children carefully,
1251,vocabulary,TOPIK II,구체적,specific,구체적으로 설명해 주세요,Please explain specifically,계획이 아주 구체적입니다,The plan is very specific,
1252,vocabulary,TOPIK II,규칙적,regular,규칙적인 생활이 중요합니다,A regular lifestyle is important,규칙적으로 운동하고 있어요,I exercise regularly,
1253,vocabulary,TOPIK II,기대되다,to look forward to,여행이 기대됩니다,I am looking forward to the trip,새 학기가 기대돼요,I am excited for the new semester,
1254,vocabulary,TOPIK II,깨닫다,to realize,중요한 사실을 깨달았어요,I realized an important fact,실수 후에 많이 깨달았습니다,I learned a lot after the mistake,
1255,vocabulary,TOPIK II,낯설다,to be unfamiliar,새 환경이 아직 낯설어요,The new environment is still unfamiliar,처음에는 음식이 낯설었습니다,At first the food was unfamiliar,
1256,vocabulary,TOPIK II,논리적,logical,논리적으로 설명했습니다,I explained it logically,그 사람은 논리적인 편입니다,That person is logical,
1257,vocabulary,TOPIK II,단순하다,to be simple,생각보다 문제가 단순했어요,The problem was simpler than expected,디자인이 단순해서 좋아요,I like the design because it is simple,
1258,vocabulary,TOPIK II,달성하다,to achieve,목표를 달성했습니다,I achieved my goal,꿈을 달성하고 싶어요,I want to achieve my dream,
1259,vocabulary,TOPIK II,대단하다,amazing,정말 대단한 사람이에요,That person is really amazing,실력이 대단합니다,The skills are amazing,
1260,vocabulary,TOPIK II,도움되다,to be helpful,이 책이 도움이 됐어요,This book was helpful,운동이 건강에 도움이 됩니다,Exercise is helpful for health,
1261,vocabulary,TOPIK II,마주치다,to run into,길에서 친구를 마주쳤어요,I ran into my friend on the street,오랜만에 선생님을 마주쳤습니다,I unexpectedly met my teacher after a long time,
1262,vocabulary,TOPIK II,만족하다,to be satisfied,결과에 만족합니다,I am satisfied with the result,서비스에 만족했어요,I was satisfied with the service,
1263,vocabulary,TOPIK II,매력적,attractive,그 배우는 정말 매력적입니다,That actor is very attractive,매력적인 도시입니다,It is an attractive city,
1264,vocabulary,TOPIK II,무시하다,to ignore,친구의 말을 무시했어요,I ignored my friend's words,신호를 무시하면 위험합니다,It is dangerous to ignore signals,
1265,vocabulary,TOPIK II,반성하다,to reflect/regret,제 행동을 반성했습니다,I reflected on my behavior,실수한 후 많이 반성했어요,I reflected a lot after making mistakes,
1266,vocabulary,TOPIK II,발표하다,to present,학생들이 발표했습니다,The students gave presentations,내일 결과를 발표할 예정입니다,The results will be announced tomorrow,
1267,vocabulary,TOPIK II,변경되다,to be changed,시간이 변경됐어요,The time changed,계획이 갑자기 변경되었습니다,The plan changed suddenly,
1268,vocabulary,TOPIK II,복잡하다,to be complicated,문제가 너무 복잡해요,The problem is too complicated,도시가 복잡해서 피곤합니다,The city is crowded and tiring,
1269,vocabulary,TOPIK II,부드럽다,to be soft,빵이 아주 부드러워요,The bread is very soft,목소리가 부드럽습니다,The voice is soft,
1270,vocabulary,TOPIK II,분명하다,to be clear,이유가 분명합니다,The reason is clear,분명하게 말해 주세요,Please speak clearly,
1271,vocabulary,TOPIK II,가치관,values,사람마다 가치관이 다릅니다,Everyone has different values,가치관이 비슷해서 친해졌어요,We became close because our values are similar,
1272,vocabulary,TOPIK II,간소하다,to be simple,행사가 간소하게 진행됐어요,The event was held simply,생활을 간소하게 바꾸고 싶어요,I want to simplify my life,
1273,vocabulary,TOPIK II,감정적,emotional,감정적으로 말하지 마세요,Don't speak emotionally,그는 감정적인 편입니다,He is emotional,
1274,vocabulary,TOPIK II,개방적,open-minded,개방적인 생각이 중요합니다,Open-minded thinking is important,그 사람은 성격이 개방적입니다,That person is open-minded,
1275,vocabulary,TOPIK II,거부하다,to reject,제안을 거부했습니다,I rejected the suggestion,인터뷰 요청을 거부했어요,I refused the interview request,
1276,vocabulary,TOPIK II,경고하다,to warn,위험하다고 경고했습니다,They warned that it was dangerous,선생님이 학생들을 경고했어요,The teacher warned the students,
1277,vocabulary,TOPIK II,고정되다,to be fixed,가격이 고정되어 있습니다,The price is fixed,생각이 고정되면 안 됩니다,You should not have fixed ideas,
1278,vocabulary,TOPIK II,공평하다,to be fair,공평하게 평가해야 합니다,We should evaluate fairly,결과가 공평하지 않았어요,The result was not fair,
1279,vocabulary,TOPIK II,과소비,overspending,과소비를 줄이려고 합니다,I am trying to reduce overspending,과소비는 좋지 않습니다,Overspending is not good,
1280,vocabulary,TOPIK II,구별하다,to distinguish,두 단어를 구별하기 어려워요,It is hard to distinguish the two words,색깔을 쉽게 구별할 수 있습니다,You can distinguish the colors easily,
1281,vocabulary,TOPIK II,권장하다,to recommend,충분한 수면을 권장합니다,They recommend enough sleep,의사가 운동을 권장했어요,The doctor recommended exercise,
1282,vocabulary,TOPIK II,긍정적,positive,긍정적으로 생각하세요,Think positively,긍정적인 반응이 많았습니다,There were many positive reactions,
1283,vocabulary,TOPIK II,기초적,basic,기초적인 문법부터 배웁니다,We learn basic grammar first,기초적인 지식이 필요해요,Basic knowledge is necessary,
1284,vocabulary,TOPIK II,날카롭다,to be sharp,칼이 아주 날카롭습니다,The knife is very sharp,날카로운 질문을 했어요,They asked a sharp question,
1285,vocabulary,TOPIK II,냉정하다,to be calm/cold,냉정하게 판단해야 합니다,You should judge calmly,그는 항상 냉정합니다,He is always calm,
1286,vocabulary,TOPIK II,능률적,efficient,능률적인 방법을 찾고 있어요,I am looking for an efficient method,능률적으로 일하는 것이 중요합니다,It is important to work efficiently,
1287,vocabulary,TOPIK II,다양성,diversity,문화의 다양성을 존중해야 합니다,We should respect cultural diversity,다양성이 점점 중요해지고 있습니다,Diversity is becoming more important,
1288,vocabulary,TOPIK II,단체생활,group life,단체생활이 쉽지 않았어요,Group life was not easy,학교에서 단체생활을 배웁니다,We learn group life at school,
1289,vocabulary,TOPIK II,대응하다,to respond,문제에 빨리 대응해야 합니다,We should respond quickly to problems,회사 측이 대응했습니다,The company responded,
1290,vocabulary,TOPIK II,도입되다,to be introduced,새 제도가 도입됐어요,A new system was introduced,기술이 학교에 도입되었습니다,The technology was introduced into schools,
1291,vocabulary,TOPIK II,독특하다,to be unique,그 사람은 생각이 독특해요,That person has unique ideas,독특한 디자인이 마음에 듭니다,I like the unique design,
1292,vocabulary,TOPIK II,명확하다,to be clear,설명이 명확했습니다,The explanation was clear,목표가 명확해야 합니다,The goal should be clear,
1293,vocabulary,TOPIK II,무관심하다,to be indifferent,환경 문제에 무관심하면 안 됩니다,We should not be indifferent to environmental issues,그는 정치에 무관심합니다,He is indifferent to politics,
1294,vocabulary,TOPIK II,민감하다,to be sensitive,피부가 민감합니다,My skin is sensitive,그 문제에 민감하게 반응했어요,They reacted sensitively to the issue,
1295,vocabulary,TOPIK II,반영되다,to be reflected,의견이 결과에 반영됐어요,The opinions were reflected in the result,문화가 작품에 반영되었습니다,The culture was reflected in the work,
1296,vocabulary,TOPIK II,보수적,conservative,부모님은 조금 보수적입니다,My parents are a little conservative,보수적인 생각을 가지고 있어요,I have conservative ideas,
1297,vocabulary,TOPIK II,비효율적,inefficient,그 방법은 비효율적입니다,That method is inefficient,비효율적으로 일하면 피곤해져요,"If you work inefficiently, you become tired",
1298,vocabulary,TOPIK II,사교적,sociable,그 사람은 아주 사교적입니다,That person is very sociable,사교적인 성격이라 친구가 많아요,I have many friends because I am sociable,
1299,vocabulary,TOPIK II,상징적,symbolic,이 건물은 상징적인 의미가 있습니다,This building has symbolic meaning,상징적인 장면이 나왔어요,A symbolic scene appeared,
1300,vocabulary,TOPIK II,설득력,persuasiveness,그의 말에는 설득력이 있습니다,His words are persuasive,설득력이 부족했어요,It lacked persuasiveness,
1301,vocabulary,TOPIK II,세부사항,details,세부사항을 확인하세요,Check the details,세부사항이 아직 정해지지 않았어요,The details have not been decided yet,
1302,vocabulary,TOPIK II,수동적,passive,수동적인 태도는 좋지 않습니다,A passive attitude is not good,그 학생은 너무 수동적이에요,That student is too passive,
1303,vocabulary,TOPIK II,신중하다,to be careful,신중하게 결정해야 합니다,You should decide carefully,그는 매우 신중한 사람입니다,He is a very careful person,
1304,vocabulary,TOPIK II,실용성,practicality,실용성이 중요합니다,Practicality is important,실용성을 생각해서 샀어요,I bought it considering practicality,
1305,vocabulary,TOPIK II,안심하다,to feel relieved,무사하다는 말을 듣고 안심했어요,I felt relieved hearing that you were safe,결과를 보고 안심했습니다,I felt relieved after seeing the result,
1306,vocabulary,TOPIK II,예민하다,to be sensitive,소리에 예민합니다,I am sensitive to sound,그는 예민한 성격입니다,He has a sensitive personality,
1307,vocabulary,TOPIK II,우수하다,to be excellent,성적이 우수합니다,The grades are excellent,우수한 결과를 얻었어요,I achieved excellent results,
1308,vocabulary,TOPIK II,유연하다,to be flexible,생각이 유연한 편입니다,My thinking is flexible,유연하게 대응해야 합니다,We should respond flexibly,
1309,vocabulary,TOPIK II,의존하다,to depend on,부모님께 너무 의존하면 안 됩니다,You should not depend too much on your parents,기술에 의존하는 사람이 많아요,Many people depend on technology,
1310,vocabulary,TOPIK II,일치하다,to match,의견이 서로 일치했습니다,Our opinions matched,내용이 제목과 일치하지 않아요,The content does not match the title,
1311,vocabulary,TOPIK II,자율적,autonomous,자율적인 학습이 중요합니다,Self-directed learning is important,학생들이 자율적으로 공부합니다,Students study autonomously,
1312,vocabulary,TOPIK II,전달되다,to be delivered,메시지가 잘 전달됐어요,The message was delivered well,감정이 제대로 전달되지 않았어요,The emotion was not conveyed properly,
1313,vocabulary,TOPIK II,조화롭다,harmonious,색깔이 조화롭습니다,The colors are harmonious,조화로운 분위기가 좋았어요,I liked the harmonious atmosphere,
1314,vocabulary,TOPIK II,주관적,subjective,그 평가는 너무 주관적입니다,That evaluation is too subjective,주관적으로 판단하지 마세요,Do not judge subjectively,
1315,vocabulary,TOPIK II,지배하다,to dominate,그 생각이 사회를 지배했습니다,That idea dominated society,시장이 대기업에 지배되고 있어요,The market is dominated by big companies,
1316,vocabulary,TOPIK II,창의적,creative,창의적인 아이디어가 필요합니다,Creative ideas are necessary,그 학생은 매우 창의적입니다,That student is very creative,
1317,vocabulary,TOPIK II,철저하다,thorough,철저하게 준비했습니다,I prepared thoroughly,조사가 철저하게 이루어졌어요,The investigation was conducted thoroughly,
1318,vocabulary,TOPIK II,통합되다,to be integrated,시스템이 통합됐습니다,The systems were integrated,정보가 하나로 통합되었습니다,The information was integrated into one,
1319,vocabulary,TOPIK II,합리적,rational,합리적인 선택을 했어요,I made a rational choice,가격이 합리적입니다,The price is reasonable,
1320,vocabulary,TOPIK II,현실적,realistic,현실적인 목표가 중요합니다,Realistic goals are important,그 계획은 현실적이지 않아요,That plan is not realistic,
1321,vocabulary,TOPIK II,가상현실,virtual reality,가상현실 기술이 발전하고 있습니다,Virtual reality technology is developing,가상현실 게임을 해 봤어요,I tried a virtual reality game,
1322,vocabulary,TOPIK II,간편하다,to be convenient/simple,사용 방법이 아주 간편합니다,The way to use it is very simple,간편하게 주문할 수 있어요,You can order conveniently,
1323,vocabulary,TOPIK II,감소하다,to decrease,인구가 감소하고 있습니다,The population is decreasing,스트레스가 많이 감소했어요,My stress decreased a lot,
1324,vocabulary,TOPIK II,강력하다,to be powerful,강력한 효과가 있습니다,It has a powerful effect,태풍이 아주 강력했습니다,The typhoon was very strong,
1325,vocabulary,TOPIK II,개인적,personal,개인적인 질문은 하지 마세요,Please don't ask personal questions,개인적인 시간이 필요해요,I need personal time,
1326,vocabulary,TOPIK II,거절당하다,to be rejected,제안이 거절당했어요,My suggestion was rejected,인터뷰 요청을 거절당했습니다,My interview request was rejected,
1327,vocabulary,TOPIK II,경험담,experience story,유학 경험담을 들었어요,I heard a study abroad story,경험담을 책으로 썼습니다,They wrote their experiences in a book,
1328,vocabulary,TOPIK II,고민거리,worry/problem,요즘 고민거리가 많아요,I have many worries these days,큰 고민거리가 생겼습니다,A big problem came up,
1329,vocabulary,TOPIK II,공통되다,to be common,두 의견은 공통되는 부분이 있습니다,The two opinions have common parts,공통되는 특징이 많아요,There are many common characteristics,
1330,vocabulary,TOPIK II,관광지,tourist attraction,유명한 관광지에 갔어요,I went to a famous tourist attraction,관광지가 사람들로 crowded했습니다,The tourist attraction was crowded,
1331,vocabulary,TOPIK II,구입하다,to purchase,새 컴퓨터를 구입했어요,I purchased a new computer,인터넷으로 구입했습니다,I bought it online,
1332,vocabulary,TOPIK II,권리,right,모든 사람은 권리가 있습니다,Everyone has rights,자신의 권리를 지켜야 합니다,You should protect your rights,
1333,vocabulary,TOPIK II,균형,balance,일과 생활의 균형이 중요합니다,Work-life balance is important,균형 잡힌 식사를 하세요,Eat a balanced meal,
1334,vocabulary,TOPIK II,깨끗해지다,to become clean,방이 깨끗해졌어요,The room became clean,강물이 깨끗해졌습니다,The river became clean,
1335,vocabulary,TOPIK II,낭만적,romantic,낭만적인 분위기였어요,It was a romantic atmosphere,낭만적인 영화를 좋아합니다,I like romantic movies,
